Hours,Iron,OD,Trial
54.75,0x,0.149005407,1st
65.5,0x,0.159968188,1st
79,0x,0.166046302,1st
91,0x,0.195493803,1st
102,0x,0.179625034,1st
126,0x,0.195493803,1st
150,0x,0.187239004,1st
175,0x,0.187239004,1st
200.5,0x,0.219516028,1st
248.75,0x,0.209262956,1st
296.17,0x,0.225010122,1st
319,0x,0.219516028,1st
345,0x,0.230772842,1st
54.75,1/100x,0.1692535,1st
65.5,1/100x,0.187239004,1st
79,1/100x,0.176035818,1st
91,1/100x,0.195493803,1st
102,1/100x,0.199886891,1st
126,1/100x,0.179625034,1st
150,1/100x,0.191281428,1st
175,1/100x,0.199886891,1st
200.5,1/100x,0.191281428,1st
223,1/100x,0.195493803,1st
248.75,1/100x,0.236824037,1st
271.17,1/100x,0.230772842,1st
296.17,1/100x,0.225010122,1st
319,1/100x,0.214272475,1st
345,1/100x,0.214272475,1st
54.75,1/10x,0.135018151,1st
65.5,1/10x,0.159968188,1st
79,1/10x,0.139392753,1st
91,1/10x,0.1692535,1st
102,1/10x,0.191281428,1st
126,1/10x,0.183356598,1st
150,1/10x,0.187239004,1st
175,1/10x,0.219516028,1st
200.5,1/10x,0.199886891,1st
223,1/10x,0.219516028,1st
248.75,1/10x,0.236824037,1st
271.17,1/10x,0.236824037,1st
296.17,1/10x,0.256938351,1st
319,1/10x,0.243185545,1st
345,1/10x,0.243185545,1st
54.75,1x,0.159968188,1st
65.5,1x,0.149005407,1st
79,1x,0.166046302,1st
91,1x,0.154301142,1st
102,1x,0.176035818,1st
126,1x,0.183356598,1st
150,1x,0.187239004,1st
175,1x,0.209262956,1st
200.5,1x,0.204472374,1st
223,1x,0.219516028,1st
248.75,1x,0.249881446,1st
271.17,1x,0.249881446,1st
296.17,1x,0.298794908,1st
319,1x,0.319400082,1st
345,1x,0.369935633,1st
54.75,10x,0.199886891,1st
65.5,10x,0.204472374,1st
79,10x,0.191281428,1st
91,10x,0.204472374,1st
102,10x,0.219516028,1st
126,10x,0.219516028,1st
150,10x,0.225010122,1st
175,10x,0.256938351,1st
200.5,10x,0.249881446,1st
223,10x,0.289417742,1st
248.75,10x,0.298794908,1st
271.17,10x,0.289417742,1st
296.17,10x,0.342899317,1st
319,10x,0.330751739,1st
0,0x,0.228751111,2nd
14,0x,0.228751111,2nd
24,0x,0.228751111,2nd
39,0x,0.228751111,2nd
51.17,0x,0.236285626,2nd
63.5,0x,0.228751111,2nd
75,0x,0.228751111,2nd
86.5,0x,0.244273861,2nd
99.5,0x,0.228751111,2nd
111.5,0x,0.228751111,2nd
123,0x,0.236285626,2nd
136.17,0x,0.236285626,2nd
147.75,0x,0.236285626,2nd
161.5,0x,0.244273861,2nd
171.25,0x,0.252756186,2nd
186,0x,0.261777791,2nd
172.75,0x,0.271389414,2nd
207.5,0x,0.261777791,2nd
221,0x,0.271389414,2nd
231.75,0x,0.271389414,2nd
220,0x,0.281648204,2nd
255.5,0x,0.281648204,2nd
267.5,0x,0.281648204,2nd
280,0x,0.281648204,2nd
291.75,0x,0.304374334,2nd
307,0x,0.304374334,2nd
