,PB119_E1_ACAGTG_L004_R1,PB217_G1_CAACTA_L002_R1,PB220_G1_CTTGTA_L005_R1,PNIBD01_E,PNIBD46_A_S22_L006_R1_001,PNIBD51_E,PNIBD52_E_S58_L007_R1_001
hsa-let-7a-1-3p,149.77497,194.3317834,182.3895668,29.46001833,115.6288737,47.76820257,194.2401636
hsa-let-7a-1-3p_-_1,0,0,0,0,0,0,0
hsa-let-7a-1-3p_-_4,0,0,0,0,0,0,0
hsa-let-7a-1-3p_-_5,0,0,0,0,0,0,0
hsa-let-7a-1-3p_+_1,0,0,0,0,0,0,0
hsa-let-7a-1-3p_+_2,0,0,0,9.503231719,0,0,0
hsa-let-7a-1-5p,20141.73796,28114.57705,27603.00285,80424.89972,25775.6031,87761.33403,17178.60007
hsa-let-7a-1-5p_-_1,0,0,0,81.72779279,0,19.10728103,0
hsa-let-7a-1-5p_-_2,0,0,0,0,0,0,0
hsa-let-7a-1-5p_+_1,23.96399519,59.79439489,46.78173954,59.87035983,0,82.00208107,0
hsa-let-7a-1-5p_+_2,22.46624549,74.74299361,37.89913077,39.91357322,41.75487107,28.66092154,0
hsa-let-7a-1-5p_+_3,20.96849579,41.10864648,30.20086983,11.40387806,0,31.84546838,0
hsa-let-7a-1-5p_+_4,0,48.58294585,27.83217416,0,0,0,0
hsa-let-7a-1-5p_+_5,19.47074609,71.00584393,24.87130457,15.20517075,0,0,0
hsa-let-7a-1-5p_+_6,0,0,10.06695661,0,0,0,0
hsa-let-7a-1-5p_+_7,0,0,8.290434856,0,0,0,0
hsa-let-7a-1-5p_+_8,0,0,0,0,0,0,0
hsa-let-7a-2-3p,0,0,0,0,0,0,0
hsa-let-7a-2-5p,20240.58944,28432.23477,27755.78372,81629.9095,25987.58937,88642.65737,17244.64173
hsa-let-7a-2-5p_-_1,0,0,7.106087019,57.01939032,0,19.10728103,0
hsa-let-7a-2-5p_+_1,23.96399519,63.53154457,47.37391346,59.87035983,0,82.00208107,0
hsa-let-7a-2-5p_+_2,22.46624549,74.74299361,37.89913077,28.50969516,41.75487107,28.66092154,0
hsa-let-7a-2-5p_+_3,20.96849579,41.10864648,30.20086983,11.40387806,0,31.84546838,0
hsa-let-7a-2-5p_+_4,0,48.58294585,26.64782632,0,0,0,0
hsa-let-7a-2-5p_+_5,19.47074609,71.00584393,23.68695673,0,0,0,0
hsa-let-7a-2-5p_+_6,0,0,10.06695661,0,0,0,0
hsa-let-7a-2-5p_+_7,0,0,8.290434856,0,0,0,0
hsa-let-7a-2-5p_+_8,0,0,0,0,0,0,0
hsa-let-7a-3-3p,149.77497,194.3317834,182.3895668,29.46001833,115.6288737,47.76820257,194.2401636
hsa-let-7a-3-3p_-_1,0,0,0,0,0,0,0
hsa-let-7a-3-3p_-_4,0,0,0,0,0,0,0
hsa-let-7a-3-3p_-_5,0,0,0,0,0,0,0
hsa-let-7a-3-3p_+_1,0,0,0,0,0,0,0
hsa-let-7a-3-3p_+_2,0,0,0,9.503231719,0,0,0
hsa-let-7a-3-3p_+_3,0,0,0,0,0,0,0
hsa-let-7a-3-5p,20093.80997,28069.73125,27529.57329,80170.21311,25730.63632,87274.09836,17194.13928
hsa-let-7a-3-5p_-_1,76.38523468,89.69159233,91.78695733,155.8530002,122.0527,320.8430939,66.04165563
hsa-let-7a-3-5p_-_2,0,0,0,0,0,0,0
hsa-let-7a-3-5p_-_3,0,0,0,0,0,0,0
hsa-let-7a-3-5p_-_4,0,0,0,0,0,0,0
hsa-let-7a-3-5p_+_1,23.96399519,59.79439489,46.78173954,59.87035983,0,82.00208107,0
hsa-let-7a-3-5p_+_2,22.46624549,74.74299361,37.89913077,28.50969516,41.75487107,28.66092154,0
hsa-let-7a-3-5p_+_3,20.96849579,41.10864648,30.20086983,11.40387806,0,31.84546838,0
hsa-let-7a-3-5p_+_4,0,48.58294585,26.64782632,0,0,0,0
hsa-let-7a-3-5p_+_5,19.47074609,71.00584393,26.64782632,0,0,0,0
hsa-let-7a-3-5p_+_6,0,0,10.06695661,0,0,0,0
hsa-let-7a-3-5p_+_7,0,0,8.290434856,0,0,0,0
hsa-let-7a-3-5p_+_8,0,0,0,0,0,0,0
hsa-let-7b-3p,233.6489531,216.7546815,167.5852189,247.0840247,154.1718316,339.1542382,120.4289014
hsa-let-7b-3p_-_3,0,0,0,0,0,0,0
hsa-let-7b-3p_-_4,0,0,0,0,0,0,0
hsa-let-7b-3p_-_7,0,0,0,0,0,0,0
hsa-let-7b-3p_+_1,0,0,0,0,0,0,0
hsa-let-7b-3p_+_2,0,0,0,0,0,0,0
hsa-let-7b-3p_+_4,0,0,0,0,0,0,0
hsa-let-7b-5p,13126.27837,10759.25393,14616.62882,24777.77606,11932.25739,36948.70469,19536.67566
hsa-let-7b-5p_-_1,0,0,0,0,0,20.69955445,0
hsa-let-7b-5p_-_3,0,0,0,0,0,0,0
hsa-let-7b-5p_+_1,22.46624549,0,12.43565228,0,0,0,46.61763927
hsa-let-7b-5p_+_2,0,0,14.21217404,0,0,0,0
hsa-let-7b-5p_+_3,0,0,0,0,0,0,0
hsa-let-7b-5p_+_4,0,0,0,0,0,0,0
hsa-let-7b-5p_+_5,0,0,7.106087019,0,0,0,0
hsa-let-7b-5p_+_6,0,0,0,0,0,0,0
hsa-let-7b-5p_+_7,0,0,0,0,0,0,0
hsa-let-7b-5p_+_8,0,0,0,0,0,0,0
hsa-let-7c,744.3816007,814.6986303,1100.25914,4184.272926,854.3689003,7579.221474,1946.286439
hsa-let-7c_-_1,0,0,7.106087019,0,0,21.49569116,42.732836
hsa-let-7c_+_1,0,0,0,0,0,0,0
hsa-let-7c_+_2,0,0,0,0,0,0,0
hsa-let-7c_+_3,0,0,0,0,0,0,0
hsa-let-7c_+_4,0,0,0,0,0,0,0
hsa-let-7c_+_5,0,0,0,0,0,0,0
hsa-let-7c_+_6,0,0,0,0,0,0,0
hsa-let-7c_+_8,0,0,6.513913101,0,0,0,0
hsa-let-7d-3p,378.930674,616.6296973,399.1252209,874.2973182,436.8201896,2774.536432,2249.301095
hsa-let-7d-3p_-_3,0,0,0,0,0,0,0
hsa-let-7d-3p_-_4,0,0,0,0,0,0,0
hsa-let-7d-3p_+_1,38.94149219,67.26869425,33.75391334,81.72779279,44.96678422,212.5685014,89.35047526
hsa-let-7d-3p_+_2,0,0,0,0,0,0,0
hsa-let-7d-3p_+_3,0,0,0,0,0,0,0
hsa-let-7d-3p_+_4,0,0,0,0,0,0,0
hsa-let-7d-3p_+_5,0,0,0,0,0,0,0
hsa-let-7d-5p,4307.528136,5209.586655,5600.780919,4214.683267,3282.575248,4051.539714,1771.470292
hsa-let-7d-5p_-_1,0,0,8.290434856,0,0,0,0
hsa-let-7d-5p_+_1,0,0,7.106087019,23.7580793,0,0,0
hsa-let-7d-5p_+_2,46.43024069,44.84579617,42.0443482,0,0,58.11797979,0
hsa-let-7d-5p_+_3,0,0,0,0,0,0,0
hsa-let-7d-5p_+_4,0,0,0,0,0,0,0
hsa-let-7d-5p_+_5,0,0,0,12.35420123,0,0,0
hsa-let-7d-5p_+_6,0,0,0,0,0,0,0
hsa-let-7e-3p,0,0,21.31826106,32.31098785,0,0,0
hsa-let-7e-3p_-_1,0,0,0,0,0,0,0
hsa-let-7e-3p_-_2,0,0,0,0,0,0,0
