,PB110_D1,PB122_E_S47_L005_R1_001,PB149_E,PB205_D1_GTGGCC_L004_R1,PB214_B6_CAACTA_L001_R1,PNIBD01_D_S22_L002_R1_001,PNIBD47_G,PNIBD51_D
hsa-let-7a-1-3p,175.0867704,132.1207325,138.6554376,52.29123257,278.3521416,64.93631223,297.9429395,106.2725462
hsa-let-7a-1-3p_-_1,0,0,0,0,0,0,0,0
hsa-let-7a-1-3p_-_5,0,0,0,0,0,0,0,0
hsa-let-7a-1-3p_-_6,0,0,0,0,0,0,0,0
hsa-let-7a-1-3p_+_1,0,0,0,0,19.37894657,0,49.65715658,0
hsa-let-7a-1-3p_+_2,0,0,0,0,0,0,0,0
hsa-let-7a-1-5p,30566.46407,22368.04001,58869.55866,33143.41358,38147.45632,89063.9276,30083.96069,98347.27106
hsa-let-7a-1-5p_-_1,0,0,20.65080985,0,0,55.87543146,0,33.21017068
hsa-let-7a-1-5p_+_1,59.89810565,0,32.45127263,43.063368,48.44736642,86.07836738,0,58.4499004
hsa-let-7a-1-5p_+_2,0,0,16.22563631,0,28.18755864,58.89572505,0,39.85220482
hsa-let-7a-1-5p_+_3,0,0,29.50115693,0,25.54497502,45.30440388,0,35.86698434
hsa-let-7a-1-5p_+_4,0,0,0,0,18.49808536,0,0,0
hsa-let-7a-1-5p_+_5,0,0,16.22563631,0,41.40047676,0,0,0
hsa-let-7a-1-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7a-1-5p_+_7,0,0,0,0,9.689473283,0,0,0
hsa-let-7a-1-5p_+_8,0,0,0,0,0,0,0,0
hsa-let-7a-2-3p,0,0,0,0,10.57033449,0,0,0
hsa-let-7a-2-3p_-_4,0,0,0,0,0,0,0,0
hsa-let-7a-2-5p,30806.05649,22348.2219,59238.32312,33281.83155,38410.83382,89785.77777,30332.24648,99350.21821
hsa-let-7a-2-5p_-_1,0,0,60.47737171,0,0,55.87543146,0,39.85220482
hsa-let-7a-2-5p_+_1,59.89810565,0,59.00231387,43.063368,58.1368397,86.07836738,0,58.4499004
hsa-let-7a-2-5p_+_2,0,0,16.22563631,0,28.18755864,58.89572505,0,39.85220482
hsa-let-7a-2-5p_+_3,0,0,29.50115693,0,25.54497502,45.30440388,0,37.19539117
hsa-let-7a-2-5p_+_4,0,0,0,0,18.49808536,0,0,0
hsa-let-7a-2-5p_+_5,0,0,16.22563631,0,31.71100347,0,0,0
hsa-let-7a-2-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7a-2-5p_+_7,0,0,0,0,9.689473283,0,0,0
hsa-let-7a-2-5p_+_8,0,0,0,0,0,0,0,0
hsa-let-7a-3-3p,175.0867704,132.1207325,138.6554376,52.29123257,278.3521416,64.93631223,297.9429395,106.2725462
hsa-let-7a-3-3p_-_1,0,0,0,0,0,0,0,0
hsa-let-7a-3-3p_-_5,0,0,0,0,0,0,0,0
hsa-let-7a-3-3p_+_1,0,0,0,0,19.37894657,0,49.65715658,0
hsa-let-7a-3-3p_+_2,0,0,0,0,0,0,0,0
hsa-let-7a-3-3p_+_3,0,0,0,0,0,33.22322952,0,0
hsa-let-7a-3-5p,30483.52823,22298.67663,58725.00299,33084.97044,38025.01661,88660.7184,30013.61306,98084.24651
hsa-let-7a-3-5p_-_1,179.6943169,62.75734794,302.3868586,138.4179686,152.3889889,274.8467169,248.2857829,482.2116783
hsa-let-7a-3-5p_-_2,0,0,0,0,0,0,0,0
hsa-let-7a-3-5p_+_1,59.89810565,0,32.45127263,43.063368,48.44736642,86.07836738,0,58.4499004
hsa-let-7a-3-5p_+_2,0,0,16.22563631,0,28.18755864,58.89572505,0,39.85220482
hsa-let-7a-3-5p_+_3,0,0,29.50115693,0,25.54497502,45.30440388,0,35.86698434
hsa-let-7a-3-5p_+_4,0,0,0,0,18.49808536,0,0,0
hsa-let-7a-3-5p_+_5,0,0,16.22563631,0,36.11530951,0,0,0
hsa-let-7a-3-5p_+_6,0,0,0,0,0,0,0,0
hsa-let-7a-3-5p_+_7,0,0,0,0,9.689473283,0,0,0
hsa-let-7a-3-5p_+_8,0,0,0,0,0,0,0,0
hsa-let-7b-3p,267.2377021,125.5146959,138.6554376,101.5065103,378.7703193,249.1742214,82.76192763,135.4974964
hsa-let-7b-3p_-_1,0,0,0,0,0,0,0,0
hsa-let-7b-3p_-_4,0,0,0,0,0,0,0,0
hsa-let-7b-3p_-_6,0,0,0,0,0,0,0,0
hsa-let-7b-3p_+_1,0,0,0,0,0,0,0,0
hsa-let-7b-3p_+_2,0,0,0,0,0,0,0,0
hsa-let-7b-5p,11767.67399,9159.26978,22299.92453,15548.9518,14943.81039,39303.08052,9041.740594,40232.12917
hsa-let-7b-5p_-_1,0,0,0,0,0,0,0,0
hsa-let-7b-5p_-_3,0,0,0,0,0,0,0,0
hsa-let-7b-5p_+_1,0,0,0,0,21.14066898,33.22322952,0,18.59769558
hsa-let-7b-5p_+_2,0,0,0,0,0,0,0,0
hsa-let-7b-5p_+_3,0,0,0,0,0,0,0,0
hsa-let-7b-5p_+_4,0,0,0,0,0,0,0,0
hsa-let-7b-5p_+_5,0,0,0,0,8.808612076,0,99.31431316,0
hsa-let-7b-5p_+_6,0,0,0,0,12.33205691,0,0,0
hsa-let-7b-5p_+_7,0,0,0,0,0,0,0,0
hsa-let-7c,1147.279101,1258.449977,2951.590751,1780.977862,9753.776151,5629.827256,1233.152722,10321.72105
hsa-let-7c_-_1,0,0,0,0,43.16219917,0,0,34.53857751
